Nama Perangkat,Serial Number,Status,Status Barang,Barang Masuk Pengirim,Barang Keluar Penerima,Tanggal Menerima,Tanggal Pengiriman,OS Version,Lokasi Device,Description
FortiWeb-1000F-NFR,FV-1KFS123000161,Barang Keluar,Demo,Ex BPD Bali,Warehouse SMI Cibitung,25/08/2025,18/09/2025,7.6.4,Delivered,Pickup Expedisi SMi CIbitung
FortiWeb-400E,FV400ETA20000067,Barang Keluar,Demo,Sinergy Informasi Pratama,-,18/08/2025,18/08/2025,7.4.3,Delivered,Pickup Expedisi SMi CIbitung
FortiWeb-600E,FV600ETA23900141,Barang Keluar,Demo,-,Warehouse SMI Cibitung,,18/09/2025,7.2.10,Delivered,Pickup Expedisi SMi CIbitung
FortiWeb-400E,FV400ETA24000004,Barang RMA,RMA Bpd NTT,Sinergy Informasi Pratama,PT Sinergy Informasi Pratama,9/2/2026,13/11/2025,7.2.9,Gudang ATS,
FortiWeb-400E,FV400ETA24000038,Barang RMA,RMA Bpd NTT,,-,,7/4/2024,7.2.9,Gudang YES-Jkt,BPD NTT - DRMA (24x7x4)
FortiWeb-400E,,Barang Keluar,,-,PT Sinergy Informasi Pratama,09/01/2024,,,Delivered,
FortiWeb-400F,FV400FT924000026,Barang Keluar,Demo,Ex BPD Bali,,22/02/2025,,7.2.10,Delivered,Dipakai Di Astra life
FortiWeb-600F,FV600FT924000026,Barang RMA,RMA,Ex BPD Bali,,25/08/2025,,7.4.7,Gudang ATS,
FortiWeb-600F,FV600FT923000089,Barang Keluar,Demo,Ex BPD Bali,Warehouse SMI Cibitung,25/08/2025,18/09/2025,7.6.5,Delivered,Pickup Expedisi SMI Cibitung
FortiWeb-1000E,FV-1KET122900177,Barang Keluar,Demo,PT Synex Metrodata Indonesia,Warehouse SMI Cibitung,05/02/2025,26/02/2025,7.4.6,Delivered,Pickup Expedisi SMI Cibitung
SFP TL-SM5110-LR,22384M3001723,Barang Keluar,,,PT Permodalan Nasional Madani,,20/12/2024,,Delivered,
SFP TL-SM5110-LR,22384M3000931,Barang Keluar,,,PT Permodalan Nasional Madani,,20/12/2024,,Delivered,
FortiSandbox 1000F,FSA1KFT621000147,Ready,,PT Synex Metrodata Indonesia,,22/08/2025,,4.4.7,Gudang ATS,
Forti NDR,FAI1KFS124000080,Barang Keluar,Demo,,Warehouse SMI Cibitung,26/01/2026,16/04/2026,7.4.10,Delivered,Pickup SMI Cibitung
FortiAnalyzer-200F,FL-2HFTB19001120,Barang Keluar,,,,21/01/2026,,7.0.13,Delivered,
FortiAnalyzer-200F,FL-2HTB18000189,Ready,,,,20/01/2026,,7.0.15,Gudang YES-Jkt,
